IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,Listing_Year,Listing_Month
Northern ARC Capital Limited,-0.2403272395733721,3.061246101694293,0.4978602491327574,0.4579653602547108,1.3679289507270314,-0.3051982780735589,-0.19068529880350957,0.48376839358384166,-0.36622030507884284,-0.3734569747177969,-0.3700689214837094,2024,9
Western Carriers Limited,-0.34794505170347634,-0.3064938799042539,-0.21805451497585432,0.3028563538481487,-0.1286455140859853,-0.5852046991420166,-0.6254723461153167,-0.601622280440072,-0.457313108394632,-0.4638777093720601,-0.43832945805336176,2024,9
P N Gadgil Jewellers Limited,-0.11798261998297485,1.4163076915093638,-0.1347387435540026,0.019548090684505855,0.40840006496005987,0.3625093413973785,0.9695475401556222,1.746922358240788,-0.0979911100358488,-0.10533271219205222,-0.26220184759369936,2024,9
Tolins Tyres Limited,-0.4475176634617538,-0.34716630355419875,-0.3448234547821899,0.1689123190760102,-0.2530806326440006,-0.41904704268381093,-0.4885504582878415,-0.551459799838158,-0.4283422032056032,-0.43514774423605673,-0.4429187257662367,2024,9
Bajaj Housing Finance Limited,1.9501338597803966,2.5638397688858237,-0.24150310499783548,-0.2689002370189255,0.48682399447042585,-0.8990580502297383,-0.6735151137740799,3.0179142104917833,-0.46294174140278616,-0.4696568205146914,-0.08376032064015042,2024,9
Kross Limited,-0.34524816720971896,-0.38040057968839497,-0.3827075830364532,-0.15642353061884534,-0.3849669559060887,-0.3759691317502021,-0.45732265930964544,-0.5652544820036843,-0.4219686040640169,-0.428557239265377,-0.4459653824831873,2024,9
Shree Tirupati Balajee Agro Trading Company Limited,-0.47037678975364383,1.6381860493195688,0.9940177586291148,1.7320966526470167,1.6257406334879494,-0.8590571329342443,-0.8106772154398488,-0.1912304860156633,-0.5149486549178343,-0.5218095727889523,-0.47334672766084446,2024,9
Gala Precision Engineering Limited,-0.4710282843223605,2.9306828740242366,2.492529214721347,2.2984108222366677,3.053764015023497,0.5132820296650096,0.7677679159888167,0.7446132927137943,0.1175938115779385,0.11312265671672299,-0.11357127813638845,2024,9
Baazar Style Retail Limited,-0.21847944496664112,0.5455696567934236,-0.11019100087474107,-0.2060100355909237,0.05931112457425037,0.08250292032892088,-0.09940404025185945,-0.5652544820036843,-0.295738231454677,-0.3035032353996146,-0.3949049585180914,2024,9
Ecos (India) Mobility & Hospitality Limited,-0.3069160449108081,1.4163076915093638,-0.023724325168685573,0.11660460346522022,0.4989322021145442,-0.08673172976739968,-0.09387912197110165,-0.02726187754815699,-0.31390712770893936,-0.31637790277324146,-0.3687962674120718,2024,9
Premier Energies Limited,0.5374512182189553,2.6795267015243827,-0.17899795722049197,-0.2492470490726749,0.6874476811275851,0.27019953225393095,1.3466832662769135,3.2038289042226267,0.283886807362964,0.2752358317492725,0.16286461233325467,2024,9
Orient Technologies Limited,-0.4532902083613131,2.2558688100422724,1.6570266415006316,1.5401001242490306,2.1279518305424543,-0.4805869154461093,-0.33721574016273737,0.7132617423375981,-0.29255143188388383,-0.30043980972228856,-0.11010040339555864,2024,8
Interarch Building Products Limited,-0.3072607309907687,2.5013276780619784,0.3953459446304085,0.09604434530606579,1.0441741063350694,1.6548466694056443,2.0678052088349497,0.7975974128495659,1.2784579825023235,1.2441890939586322,0.2425790355476454,2024,8
Saraswati Saree Depot Limited,-0.47402818954575354,0.26529392806170254,2.082398719868133,1.3892241121693534,1.3047799908600146,-0.6221286227993956,-0.5534081946271718,0.21853427740122147,-0.48064710317402415,-0.48767307530891135,-0.4861118336521184,2024,8
Brainbees Solutions Limited,1.0538477823866834,-0.4440204797167134,-0.5113817207820747,-0.4119149739201027,-0.4704695298853238,0.31635443682565473,0.46750061812154653,0.5135523664412279,-0.24735681978899887,-0.25370186932092276,-0.39752739721116276,2024,8
