IPO,IPO_Size,Subscription,GMP,IPO Price,Estimated Price,Estimated Percentage,Listing Price,Listing Percentage,LT Price,LT Percentage,Risk_Category,Listing_Year,Listing_Month,Risk_Category_Encoded
"Rolex Rings IPO (ROLEXRINGS,543323)",-0.30059512,1.411502022,1.913625813,1.218543658,1.67926556,0.869173194,1.404834839,0.365451382,2.375856522,0.64922096,Low,2021,8,0
"Glenmark Life Sciences IPO (GLS,543322)",-0.000346758,-0.042325282,-0.132213097,0.724663879,0.508236366,-0.42756477,0.378865995,-0.536110275,-0.091956317,-0.600369098,High,2021,8,2
"Tatva Chintan Pharma IPO (TATVA,543321)",-0.389219413,2.252756908,5.506184757,1.720654766,3.453808896,2.588335881,3.171553189,1.822439418,1.159725466,-0.238441509,Low,2021,7,0
"Zomato IPO (Zomato,543320)",3.015718244,-0.142089483,-0.461302466,-1.042328219,-0.982549443,0.153765805,-0.9220625,0.722232983,-0.865184589,-0.146542336,Low,2021,7,0
"G R Infraprojects IPO (GRINFRA,543317)",-0.211970827,0.942003602,2.571804551,1.045685735,1.799968389,1.469704893,2.358985864,2.082105794,0.536106495,-0.314452271,Medium,2021,7,1
"Clean Science and IPO (CLEAN,543318)",0.012322295,0.787470203,2.791197463,1.218543658,2.018080517,1.4574559,2.441063372,1.822439418,0.958271356,-0.143931564,Low,2021,7,0
"India Pesticides IPO (IPL,543311)",-0.274122929,-0.297296965,-0.38999977,-0.438697378,-0.489150162,-0.413329454,-0.44190908,-0.170759684,-0.607441832,-0.535920327,High,2021,7,2
"KIMS IPO (KIMS,543307)",0.24140957,-0.721631861,-0.170606857,1.012760416,0.715760527,-0.503707158,0.910317856,-0.065335135,1.820376442,0.483772611,Low,2021,6,0
"Dodla Dairy IPO (DODLA,543306)",-0.381477256,-0.017889793,-0.143182743,-0.076518874,-0.114336116,-0.185895454,-0.031521543,0.095658018,0.127273155,0.107299293,Low,2021,6,0
Shyam Metalics and IPO (),-0.23230454,1.259664952,0.131058398,-0.411259613,-0.266802847,0.601681676,-0.38035095,-0.016517857,-0.272672503,-0.194207573,Low,2021,6,0
Sona Comstar IPO (),1.548238071,-0.748258118,-0.5655141,-0.452416261,-0.567501121,-0.770536568,-0.542454027,-0.55506592,-0.272672503,-0.194207573,Low,2021,6,0
"Kalyan Jewellers IPO (KALYANKJIL,543278)",-0.130252324,-0.742696938,-0.609392682,-1.012146677,-1.016430938,-0.994991084,-1.008243882,-1.033890717,-0.545228062,1.564483019,Low,2021,3,0
"Suryoday Small Finance IPO (SURYODAY,543279)",-0.357629265,-0.746741432,-0.636816796,-0.414003389,-0.565383527,-0.913220781,-0.560921466,-0.75500903,-0.797045699,-0.868980237,High,2021,3,2
"Nazara Technologies IPO (NAZARA,543280)",-0.357410581,2.170181809,3.476800315,1.770042744,2.708415991,1.420377868,2.923268728,1.452155166,0.15689876,-0.713825788,High,2021,3,2
"Laxmi Organic IPO (LXCHEM,543277)",-0.350853918,1.01328782,-0.362575656,-0.894164285,-0.830082712,0.214017608,-0.839984992,-0.134925724,-0.638548716,0.267376911,Low,2021,3,0
"Craftsman Automation IPO (CRAFTSMAN,543276)",-0.265030307,-0.722305944,-0.417423884,2.837371821,2.028668484,-0.73809329,1.628496047,-0.872637898,6.55602929,1.306762529,Low,2021,3,0
"Anupam Rasayan IPO (ANURAS,543275)",-0.289469127,-0.044179008,-0.252879199,0.271940748,0.112246386,-0.446765894,-0.093079673,-0.808240637,0.374646951,0.018682233,Low,2021,3,0
EaseMyTrip IPO (),-0.385382864,1.898358065,0.131058398,-0.737769022,-0.518796471,1.496851309,-0.725076481,-0.293841546,-0.272672503,-0.194207573,Low,2021,3,0
"MTAR Technologies IPO (MTARTECH,543270)",-0.35223124,2.597044515,2.599228665,0.326816279,1.255746865,2.534705156,0.994447301,1.500712778,2.266241786,1.631393375,Low,2021,3,0
